,client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,gendr_v
46011,2875540,28.0,345.0,24.5,F,4.0,116748.37,6.0,9.0,2
46032,7221844,29.0,358.0,28.0,F,2.0,43226.82,4.0,7.0,2
46237,383009,22.0,274.0,19.5,M,2.0,56440.49,4.0,7.0,1
46406,2628505,29.0,349.0,26.0,F,2.0,374034.75,1.0,4.0,2
46434,8563377,27.0,328.0,22.0,F,2.0,34525.14,2.0,5.0,2
46484,7048326,27.0,332.0,22.5,M,2.0,115283.31,2.0,5.0,1
46535,1886161,23.0,277.0,20.0,F,3.0,50566.96,4.0,7.0,2
46592,5310157,34.0,419.0,33.5,F,2.0,25647.17,2.0,5.0,2
46707,2497622,27.0,335.0,24.5,F,2.0,72158.15,6.0,9.0,2
46715,2158003,28.0,337.0,25.0,M,3.0,275531.56,4.0,7.0,1
47137,6409786,21.0,255.0,20.5,F,2.0,39788.38,4.0,7.0,2
47316,2459641,24.0,291.0,21.0,M,2.0,34736.92,2.0,5.0,1
47320,5596629,23.0,277.0,21.5,M,2.0,37115.66,3.0,6.0,1
47421,8743848,24.0,294.0,21.5,U,2.0,38075.45,6.0,9.0,0
48178,1982424,22.0,271.0,19.0,M,2.0,25341.04,1.0,4.0,1
48199,5315667,24.0,294.0,19.5,F,2.0,29558.45,2.0,5.0,2
48271,2870699,27.0,333.0,26.5,M,2.0,58702.43,6.0,9.0,1
48272,6235867,22.0,274.0,21.5,M,3.0,182729.08,4.0,7.0,1
48676,8252591,34.0,411.0,29.0,M,3.0,61901.75,4.0,7.0,1
48873,3221057,21.0,257.0,18.0,M,3.0,42846.98,4.0,7.0,1
48945,370633,30.0,361.0,25.0,F,2.0,38510.93,3.0,6.0,2
49028,6312909,23.0,282.0,18.5,M,2.0,75633.11,6.0,9.0,1
49100,9667497,28.0,337.0,27.0,M,2.0,42791.97,0.0,3.0,1
49151,8850138,25.0,307.0,20.5,M,2.0,220843.4,3.0,6.0,1
49191,7297910,48.0,576.0,45.0,M,2.0,151921.4,2.0,6.0,1
49295,5830630,22.0,267.0,19.0,F,2.0,29859.08,0.0,3.0,2
49318,6446363,34.0,413.0,28.5,M,2.0,137292.83000000002,6.0,9.0,1
49544,2886322,24.0,288.0,22.0,F,2.0,27345.07,6.0,9.0,2
49941,7690393,21.0,253.0,20.5,M,2.0,74819.19,1.0,4.0,1
50195,9660581,24.0,297.0,23.5,F,3.0,63149.31,5.0,8.0,2
50248,8140663,21.0,253.0,20.5,F,2.0,76762.20999999999,6.0,9.0,2
50539,2967355,28.0,342.0,22.0,F,2.0,22509.59,7.0,7.0,2
50638,3450869,22.0,273.0,21.5,M,2.0,105636.14,7.0,7.0,1
50644,6833949,55.0,661.0,52.5,F,2.0,111814.11,2.0,2.0,2
50686,828136,23.0,283.0,22.0,F,2.0,61954.23,7.0,7.0,2
50734,5900023,22.0,275.0,17.5,M,3.0,35297.47,4.0,4.0,1
50804,7940251,21.0,263.0,20.0,M,2.0,205907.67,4.0,4.0,1
50824,5863382,21.0,263.0,19.0,M,2.0,34915.17,3.0,3.0,1
50844,3861290,28.0,337.0,23.5,F,2.0,28866.11,7.0,7.0,2
50853,7851983,29.0,354.0,24.0,F,2.0,80132.13,3.0,3.0,2
50879,7692477,27.0,335.0,22.0,M,3.0,117347.38,5.0,5.0,1
51005,8057240,23.0,276.0,21.0,F,2.0,39929.46,7.0,7.0,2
51117,2416738,22.0,270.0,21.5,M,2.0,13936.55,2.0,2.0,1
51184,1422266,25.0,307.0,17.5,M,2.0,46308.64,3.0,3.0,1
51188,3429802,22.0,270.0,20.5,M,2.0,21892.37,2.0,2.0,1
51336,1006891,21.0,257.0,19.5,M,2.0,18468.06,7.0,7.0,1
51581,9876225,20.0,242.0,18.5,M,2.0,25137.92,7.0,7.0,1
51607,6338029,15.0,180.0,14.5,M,4.0,20761.32,4.0,4.0,1
51611,5084266,21.0,262.0,17.0,F,2.0,19629.98,1.0,1.0,2
51811,8394200,23.0,276.0,18.5,F,2.0,22288.86,4.0,4.0,2
51833,5127093,24.0,298.0,19.0,F,2.0,65579.62,1.0,1.0,2
51853,1130790,21.0,254.0,19.5,M,2.0,109106.56,7.0,7.0,1
52007,1131595,26.0,319.0,23.0,M,2.0,26290.29,2.0,2.0,1
52273,6084796,23.0,280.0,19.0,F,2.0,25442.16,3.0,3.0,2
52293,3020330,21.0,262.0,17.5,M,2.0,20500.43,3.0,3.0,1
52295,7148595,20.0,250.0,15.0,M,3.0,33874.41,1.0,1.0,1
52358,9701578,34.0,411.0,29.0,U,2.0,259798.14,7.0,7.0,0
52531,4968066,29.0,358.0,26.0,U,3.0,24833.38,4.0,4.0,0
52561,4395299,23.0,286.0,16.0,F,2.0,111563.77,2.0,2.0,2
52648,1136945,20.0,247.0,19.5,M,2.0,31413.179999999997,1.0,1.0,1
52718,8849612,26.0,316.0,19.0,F,3.0,41678.82,7.0,7.0,2
52890,7145458,27.0,325.0,19.0,F,2.0,28514.14,6.0,6.0,2
52895,4420130,21.0,261.0,19.0,M,2.0,26607.38,4.0,4.0,1
53114,3586831,27.0,331.0,25.0,M,2.0,34040.7,3.0,3.0,1
53211,9306636,22.0,274.0,20.0,F,2.0,39020.73,4.0,4.0,2
53230,5623269,24.0,294.0,23.0,F,2.0,20022.38,3.0,3.0,2
53294,4488161,23.0,279.0,21.0,F,2.0,24963.2,3.0,3.0,2
53380,8535187,28.0,345.0,21.0,M,3.0,50876.21,7.0,7.0,1
53383,1368349,32.0,385.0,23.5,F,2.0,185206.14,3.0,3.0,2
53632,3078852,25.0,304.0,24.5,M,2.0,22412.15,2.0,2.0,1
53695,1955955,28.0,336.0,23.5,M,2.0,23387.58,4.0,4.0,1
53705,1740851,30.0,366.0,24.5,M,2.0,14781.379999999996,1.0,1.0,1
53757,4847984,21.0,260.0,16.0,M,2.0,46085.7,3.0,3.0,1
53799,5859904,35.0,430.0,21.0,F,2.0,46574.29,7.0,7.0,2
53928,5583757,24.0,288.0,18.5,U,3.0,63573.19,4.0,4.0,0
54102,5066147,25.0,307.0,20.0,U,2.0,19785.93,2.0,2.0,0
54107,5837861,28.0,337.0,22.0,M,2.0,77127.25,1.0,1.0,1
54254,4410930,22.0,271.0,18.5,F,2.0,36376.09,1.0,1.0,2
54272,1174527,21.0,259.0,17.0,M,2.0,17899.78,5.0,5.0,1
54288,4298271,22.0,268.0,21.5,M,2.0,35238.369999999995,1.0,1.0,1
54362,573844,23.0,278.0,22.5,M,3.0,18681.88,5.0,5.0,1
54455,2484247,26.0,317.0,24.5,M,2.0,22585.78,1.0,1.0,1
54634,9792359,22.0,269.0,16.0,F,2.0,20503.61,1.0,1.0,2
54903,7596414,28.0,342.0,20.5,M,2.0,16196.469999999998,3.0,3.0,1
54918,6096429,20.0,246.0,18.0,F,2.0,33058.44,2.0,2.0,2
54959,7878697,29.0,358.0,25.5,F,2.0,24701.32,7.0,7.0,2
55071,2310845,24.0,291.0,20.0,F,3.0,39534.76,4.0,4.0,2
55195,677091,22.0,275.0,20.0,U,2.0,33283.56,1.0,2.0,0
55196,3275042,23.0,288.0,18.0,F,2.0,25089.899999999998,3.0,3.0,2
55432,8825065,20.0,248.0,18.5,M,2.0,137155.62,4.0,4.0,1
55447,5182337,21.0,253.0,17.5,F,2.0,43878.01,3.0,3.0,2
55472,1252032,21.0,258.0,17.5,M,2.0,17491.62,1.0,1.0,1
55610,5112485,20.0,245.0,16.5,M,2.0,18507.65,5.0,5.0,1
55676,24002,23.0,277.0,19.0,F,2.0,81457.26,6.0,6.0,2
55713,5280725,25.0,308.0,17.0,M,3.0,52520.84,6.0,6.0,1
55819,8836632,22.0,264.0,18.0,M,2.0,26433.1,1.0,1.0,1
55905,9885263,26.0,322.0,24.0,M,2.0,126854.49,7.0,7.0,1
56044,5278734,26.0,313.0,23.5,F,3.0,477902.58,7.0,7.0,2
56046,3147462,19.0,231.0,16.0,F,3.0,36008.56,6.0,6.0,2
56242,449439,26.0,320.0,23.5,M,2.0,193869.29,5.0,5.0,1
56401,5897994,23.0,276.0,20.0,F,2.0,46995.98,7.0,7.0,2
56423,814380,24.0,296.0,21.0,F,2.0,32030.48,4.0,4.0,2
56454,4484818,27.0,330.0,19.0,M,2.0,47674.94,6.0,6.0,1
56585,567142,21.0,257.0,15.0,M,4.0,26666.52,6.0,6.0,1
56608,6743983,55.0,668.0,46.0,F,2.0,962741.2,6.0,6.0,2
56783,8393384,21.0,261.0,18.5,U,2.0,14621.629999999996,7.0,7.0,0
56854,1595452,27.0,334.0,23.0,F,4.0,38654.91,3.0,3.0,2
56932,4955616,19.0,238.0,15.0,M,2.0,34682.67999999999,4.0,4.0,1
57056,5925234,24.0,290.0,16.5,M,2.0,16697.12,2.0,2.0,1
57081,741521,26.0,320.0,22.0,F,2.0,127528.96,7.0,7.0,2
57217,5163143,21.0,263.0,18.5,F,2.0,32812.36,4.0,4.0,2
57218,4922585,21.0,261.0,19.0,F,2.0,28318.97,2.0,2.0,2
57270,1709826,28.0,338.0,25.5,F,2.0,45031.97,7.0,7.0,2
57306,2422619,25.0,303.0,19.0,M,2.0,37298.13,5.0,5.0,1
57327,1987866,23.0,285.0,22.0,M,2.0,170528.49,5.0,5.0,1
57362,4544201,19.0,235.0,17.0,M,3.0,127688.09,3.0,3.0,1
57432,621169,25.0,304.0,16.5,F,2.0,261796.68,3.0,3.0,2
57500,9140429,20.0,248.0,19.5,F,3.0,28775.2,3.0,3.0,2
57612,4390693,28.0,341.0,25.5,U,2.0,20871.57,2.0,2.0,0
57687,1445174,23.0,281.0,17.0,M,3.0,40046.46,1.0,1.0,1
57689,6235476,22.0,264.0,17.0,F,3.0,59647.09,4.0,5.0,2
57711,7191573,22.0,274.0,20.0,M,4.0,208300.8,7.0,7.0,1
57830,4909283,21.0,261.0,19.5,M,3.0,94517.58,7.0,7.0,1
58015,4249430,21.0,260.0,17.0,M,2.0,20311.28,2.0,2.0,1
58116,1840562,23.0,286.0,20.0,F,2.0,23707.3,7.0,7.0,2
58118,5632312,18.0,226.0,15.5,F,3.0,17874.98,1.0,1.0,2
58192,6425459,26.0,315.0,18.0,F,3.0,235651.08,6.0,6.0,2
58281,3677152,22.0,273.0,14.0,F,2.0,16989.14,1.0,1.0,2
58332,6949166,29.0,355.0,22.0,M,2.0,13957.98,2.0,2.0,1
